#iter_num posterior
1 8.01
2 6.6
3 5.66
4 5.0
5 4.62
6 4.38
7 4.2
8 4.26
9 4.47
10 4.41
11 4.29
12 4.26
13 4.38
14 4.41
15 4.33
16 4.29
17 4.34
18 4.39
19 4.35
20 4.31
21 4.33
22 4.37
23 4.36
24 4.33
25 4.33
26 4.35
27 4.36
28 4.34
29 4.33
30 4.34
31 4.35
32 4.34
33 4.34
34 4.34
35 4.35
36 4.35
37 4.34
38 4.34
39 4.35
40 4.35
